"avg_rooms_per_dwelling","business_acres","charles_river_adjacency","crime_rate","distance_to_employment_center","highway_accessibility_index","land_zone","median_house_value","nitric_oxide_concentration","property_tax_rate","pupil_teacher_ratio","units_prior_1940"
"6.254","10.01",0,"0.14231","2.2565",6,0,"18.5","0.547",432,"17.8","84.2"
"6.59","6.09",0,"0.03537","5.4917",7,34,22,"0.433",329,"16.1","40.4"
"7.47","3.97",0,"0.5405","2.872",5,20,"43.5","0.575",264,13,"52.6"
"6.031","6.06",0,"0.03466","6.6407",1,35,"19.4","0.4379",304,"16.9","23.3"
"5.895","5.19",0,"0.03041","5.615",5,0,"18.5","0.515",224,"20.2","59.6"
"5.613","25.65",0,"0.38735","1.7572",2,0,"15.7","0.581",188,"19.1","95.6"
"6.842","3.97",0,"0.65665","2.0107",5,20,"30.1","0.647",264,13,100
"5.399","6.91",0,"0.25387","5.87",3,0,"14.4","0.448",233,"17.9","95.3"
"6.436","18.1",0,"5.58107","2.3158",24,0,"14.3","0.713",666,"20.2","87.9"
"6.417","10.81",0,"0.08826","5.2873",4,0,"24.2","0.413",305,"19.2","6.6"
"6.245","10.81",0,"0.19539","5.2873",4,0,"23.4","0.413",305,"19.2","6.2"
"6.579","1.69",0,"0.0795","10.7103",4,60,"24.1","0.411",411,"18.3","35.9"
"5.885","6.07",0,"0.12816","6.498",4,"12.5","20.9","0.409",345,"18.9",33
"6.431","7.38",0,"0.19186","5.4159",5,0,"24.6","0.493",287,"19.6","14.7"
"6.185","18.1",0,"9.32909","2.2616",24,0,"14.1","0.713",666,"20.2","98.7"
"6.096","8.14",0,"1.61282","3.7598",4,0,"13.5","0.538",307,21,"96.9"
"5.876","3.64",0,"0.03548","9.2203",1,80,"20.9","0.392",315,"16.4","19.1"
"7.274","1.52",0,"0.03768","7.309",2,80,"34.6","0.404",329,"12.6","38.3"
"6.027","9.69",0,"0.22438","2.4982",6,0,"16.8","0.585",391,"19.2","79.7"
"6.226","5.86",0,"0.19657","8.0555",7,22,"20.5","0.431",330,"19.1","79.2"
"5.637","21.89",0,"0.88125","1.9799",4,0,"14.3","0.624",437,"21.2","94.7"
"5.404","10.59",1,"0.37578","3.665",4,0,"19.3","0.489",277,"18.6","88.6"
"6.619","4.86",0,"0.04462","5.4007",4,25,"23.9","0.426",281,19,"70.4"
"6.629","18.1",0,"11.1604","2.1247",24,0,"13.4","0.74",666,"20.2","94.6"
"6.31","5.19",0,"0.03738","6.4584",5,0,"20.7","0.515",224,"20.2","38.5"
"5.362","18.1",0,"3.67822","2.1036",24,0,"20.8","0.77",666,"20.2","96.2"
"6.092","10.01",0,"0.22212","2.548",6,0,"18.7","0.547",432,"17.8","95.4"
"7.82","2.89",0,"0.08187","3.4952",2,0,"43.8","0.445",276,18,"36.9"
"6.127","13.92",0,"0.08265","5.5027",4,0,"23.9","0.437",289,16,"18.4"
"6.25","19.58",1,"1.27346","1.7984",5,0,27,"0.605",403,"14.7","92.6"
"6.172","7.87",0,"0.14455","5.9505",5,"12.5","27.1","0.524",311,"15.2","96.1"
"6.297","18.1",0,"5.09017","2.3682",24,0,"16.1","0.713",666,"20.2","91.8"
"6.195","8.56",0,"0.10793","2.7778",5,0,"21.7","0.52",384,"20.9","54.4"
"6.404","18.1",0,"9.59571","1.639",24,0,"12.1","0.693",666,"20.2",100
"5.871","18.1",0,"2.37857","3.724",24,0,"20.6","0.583",666,"20.2","41.9"
"5.818","18.1",0,"22.0511","1.8662",24,0,"10.5","0.74",666,"20.2","92.4"
"5.933","5.96",0,"0.06417","3.3603",5,0,"18.9","0.499",279,"19.2","68.2"
"8.266","6.2",0,"0.31533","2.8944",8,0,"44.8","0.504",307,"17.4","78.3"
"5.887","18.1",0,"13.3598","1.7821",24,0,"12.7","0.693",666,"20.2","94.7"
"3.863","18.1",0,"13.5222","1.5106",24,0,"23.1","0.631",666,"20.2",100
"6.482","6.41",0,"0.07978","4.1403",4,40,"29.1","0.447",254,"17.6","32.1"
"5.822","21.89",0,"0.32982","2.4699",4,0,"18.4","0.624",437,"21.2","95.4"
"6.326","21.89",0,"1.19294","2.271",4,0,"19.6","0.624",437,"21.2","97.7"
"7.489","19.58",0,"1.46336","1.9709",5,0,50,"0.605",403,"14.7","90.8"
"6.417","18.1",0,"7.52601","2.185",24,0,13,"0.713",666,"20.2","98.3"
"6.162","18.1",0,"6.39312","2.206",24,0,"13.3","0.584",666,"20.2","97.4"
"6.405","3.41",0,"0.03932","3.0921",2,0,22,"0.489",270,"17.8","73.9"
"7.014","3.97",0,"0.7857","2.1329",5,20,"30.7","0.647",264,13,"84.6"
"4.368","18.1",0,"20.0849","1.4395",24,0,"8.8","0.7",666,"20.2","91.2"
"6.696","3.78",0,"0.02543","5.7321",5,55,"23.9","0.484",370,"17.6","56.4"
"5.782","9.9",0,"0.24522","4.0317",4,0,"19.8","0.544",304,"18.4","71.7"
"6.152","19.58",1,"3.53501","1.7455",5,0,"15.6","0.871",403,"14.7","82.6"
5,"18.1",0,"22.5971","1.5184",24,0,"7.4","0.7",666,"20.2","89.5"
"5.951","13.89",1,"0.11069","2.8893",5,0,"21.5","0.55",276,"16.4","93.8"
"6.874","3.78",0,"0.03049","6.4654",5,55,"31.2","0.484",370,"17.6","28.1"
"6.854","6.41",0,"0.09604","4.2673",4,40,32,"0.447",254,"17.6","42.8"
"6.657","18.1",0,"14.0507","1.5275",24,0,"17.2","0.597",666,"20.2",100
"7.088","2.97",0,"0.00906","7.3073",1,90,"32.2","0.4",285,"15.3","20.8"
"6.216","18.1",0,"9.2323","1.1691",24,0,50,"0.631",666,"20.2",100
"6.202","18.1",0,"37.6619","1.8629",24,0,"10.9","0.679",666,"20.2","78.7"
"6.758","6.41",1,"0.05644","4.0776",4,40,"32.4","0.447",254,"17.6","32.9"
"6.63","4.95",0,"0.03615","5.1167",4,80,"27.9","0.411",245,"19.2","23.4"
"5.985","5.19",0,"0.05497","4.8122",5,0,19,"0.515",224,"20.2","45.4"
"6.301","18.1",0,"7.75223","2.7831",24,0,"14.9","0.713",666,"20.2","83.7"
"6.437","18.1",0,"3.56868","2.8965",24,0,"23.2","0.58",666,"20.2",75
"6.377","7.87",0,"0.22489","6.3467",5,"12.5",15,"0.524",311,"15.2","94.3"
"6.826","6.41",1,"0.06127","4.8628",4,40,"33.1","0.447",254,"17.6","27.6"
"6.174","21.89",0,"0.2909","1.6119",4,0,14,"0.624",437,"21.2","93.6"
"6.316","5.19",0,"0.05083","6.4584",5,0,"22.2","0.515",224,"20.2","38.1"
"5.966","5.13",0,"0.17171","6.8185",8,25,16,"0.453",284,"19.7","93.4"
"5.602","6.91",0,"0.21977","6.0877",3,0,"19.4","0.448",233,"17.9",62
"6.495","6.09",0,"0.09266","5.4917",7,34,"26.4","0.433",329,"16.1","18.4"
"5.935","18.1",0,"13.6781","1.8206",24,0,"8.4","0.74",666,"20.2","87.9"
"6.167","4.86",0,"0.03551","5.4007",4,25,"22.9","0.426",281,19,"46.7"
"6.343","18.1",0,"14.2362","1.5741",24,0,"7.2","0.693",666,"20.2",100
"5.565","18.1",0,"8.79212","2.0635",24,0,"11.7","0.584",666,"20.2","70.6"
"5.304","18.1",0,"15.0234","2.1007",24,0,12,"0.614",666,"20.2","97.3"
"6.242","18.1",0,"5.82401","3.4242",24,0,23,"0.532",666,"20.2","64.7"
"4.138","18.1",0,"18.4982","1.137",24,0,"13.8","0.668",666,"20.2",100
"6.315","4.05",0,"0.05425","3.3175",5,0,"24.6","0.51",296,"16.6","73.4"
"6.103","18.1",0,"7.05042","2.0218",24,0,"13.4","0.614",666,"20.2","85.1"
"5.872","10.01",0,"0.13058","2.4775",6,0,"20.4","0.547",432,"17.8","73.1"
"5.854","18.1",0,"12.8023","1.8956",24,0,"10.8","0.74",666,"20.2","96.6"
"6.047","8.14",0,"0.95577","4.4534",4,0,"14.8","0.538",307,21,"88.8"
"5.857","21.89",0,"0.2498","1.6686",4,0,"13.3","0.624",437,"21.2","98.2"
"5.99","8.14",0,"0.7842","4.2579",4,0,"17.5","0.538",307,21,"81.7"
"6.604","2.93",0,"0.01439","6.2196",1,60,"29.1","0.401",265,"15.6","18.8"
"6.481","4.93",0,"0.08244","6.1899",6,30,"23.7","0.428",300,"16.6","18.5"
"7.831","2.46",0,"0.05602","3.1992",3,0,50,"0.488",193,"17.8","53.6"
"6.655","18.1",0,"5.44114","2.3552",24,0,"15.2","0.713",666,"20.2","98.2"
"5.807","10.59",1,"0.21719","3.6526",4,0,"22.4","0.489",277,"18.6","53.8"
"6.549","13.92",0,"0.05372","5.9604",4,0,"27.1","0.437",289,16,51
"6.897","4.93",0,"0.11329","6.3361",6,30,22,"0.428",300,"16.6","54.3"
"6.405","18.1",0,"5.87205","1.6768",24,0,"12.5","0.693",666,"20.2",96
"6.004","25.65",0,"0.07165","2.1974",2,0,"20.3","0.581",188,"19.1","84.1"
"4.926","19.58",0,"2.36862","1.4608",5,0,"14.6","0.871",403,"14.7","95.7"
"5.713","8.14",0,"1.13081","4.233",4,0,"12.7","0.538",307,21,"94.1"
"5.891","10.59",0,"0.13642","3.9454",4,0,"22.6","0.489",277,"18.6","22.3"
"6.333","3.24",0,"0.06724","5.2146",4,0,"22.6","0.46",430,"16.9","17.2"
"5.875","18.1",1,"8.26725","1.1296",24,0,50,"0.668",666,"20.2","89.6"
"5.019","21.89",0,"1.62864","1.4394",4,0,"14.4","0.624",437,"21.2",100
"6.438","5.86",0,"0.21409","7.3967",7,22,"24.8","0.431",330,"19.1","8.9"
"6.163","2.89",0,"0.11504","3.4952",2,0,"21.4","0.445",276,18,"69.6"
"6.019","9.69",0,"0.23912","2.4091",6,0,"21.2","0.585",391,"19.2","65.3"
"7.691","6.96",1,"0.22188","4.3665",3,20,"35.2","0.464",223,"18.6","51.8"
"7.185","7.07",0,"0.02729","4.9671",2,0,"34.7","0.469",242,"17.8","61.1"
"6.389","4.49",0,"0.05059","4.7794",3,0,"23.9","0.449",247,"18.5",48
"8.247","6.2",0,"0.33147","3.6519",8,0,"48.3","0.507",307,"17.4","70.4"
"5.998","5.64",0,"0.04981","6.8147",4,21,"23.4","0.439",243,"16.8","21.4"
"6.096","8.14",0,"0.63796","4.4619",4,0,"18.2","0.538",307,21,"84.5"
"8.704","3.97",0,"0.61154","1.801",5,20,50,"0.647",264,13,"86.9"
"6.63","4.49",0,"0.05735","4.4377",3,0,"26.6","0.449",247,"18.5","56.1"
"7.929","19.58",0,"2.01019","2.0459",5,0,50,"0.605",403,"14.7","96.2"
"6.454","21.89",0,"0.35233","1.8498",4,0,"17.1","0.624",437,"21.2","98.4"
"5.966","5.96",0,"0.17505","3.8473",5,0,"24.7","0.499",279,"19.2","30.2"
"6.14","12.83",0,"0.08707","4.0905",5,0,"20.8","0.437",398,"18.7","45.8"
"6.461","18.1",0,"14.4208","2.0026",24,0,"9.6","0.74",666,"20.2","93.3"
"5.787","3.37",0,"0.04379","6.6115",4,80,"19.4","0.398",337,"16.1","31.1"
"6.127","8.56",0,"0.13117","2.1224",5,0,"20.4","0.52",384,"20.9","85.2"
"6.24","6.96",0,"0.16211","4.429",3,20,"25.2","0.464",223,"18.6","16.3"
"6.405","8.56",0,"0.22876","2.7147",5,0,"18.6","0.52",384,"20.9","85.4"
"5.701","8.14",0,"1.15172","3.7872",4,0,"13.1","0.538",307,21,95
"6.951","6.2",1,"0.35809","2.8617",8,0,"26.7","0.507",307,"17.4","88.5"
"5.706","6.06",0,"0.05023","6.6407",1,35,"17.1","0.4379",304,"16.9","28.4"
"5.87","25.65",0,"0.06899","2.2577",2,0,22,"0.581",188,"19.1","69.7"
"6.317","18.1",0,"6.65492","2.7344",24,0,"19.5","0.713",666,"20.2",83
"6.127","18.1",1,"5.20177","2.7227",24,0,"22.7","0.77",666,"20.2","83.4"
"7.42","2.18",0,"0.07503","3.0992",7,33,"33.4","0.472",222,"18.4","71.9"
"5.905","18.1",0,"4.83567","3.1523",24,0,"20.6","0.583",666,"20.2","53.2"
"6.824","18.1",0,"11.8123","1.794",24,0,"8.4","0.718",666,"20.2","76.5"
"6.749","18.1",0,"6.71772","2.3236",24,0,"13.4","0.713",666,"20.2","92.6"
"5.594","6.07",0,"0.13554","6.498",4,"12.5","17.4","0.409",345,"18.9","36.8"
"5.569","9.69",0,"0.17783","2.3999",6,0,"17.5","0.585",391,"19.2","73.5"
"5.95","8.14",0,"1.38799","3.99",4,0,"13.2","0.538",307,21,82
"6.041","7.38",0,"0.35114","4.7211",5,0,"20.4","0.493",287,"19.6","49.9"
"5.762","18.1",0,"2.81838","4.0983",24,0,"21.8","0.532",666,"20.2","40.3"
"6.674","8.14",0,"1.00245","4.239",4,0,21,"0.538",307,21,"87.3"
"6.004","7.87",0,"0.17004","6.5921",5,"12.5","18.9","0.524",311,"15.2","85.9"
"6.251","18.1",0,"9.92485","2.198",24,0,"12.6","0.74",666,"20.2","96.6"
"6.009","13.92",0,"0.08199","5.5027",4,0,"21.7","0.437",289,16,"42.3"
"6.49","1.25",0,"0.06211","8.7921",1,40,"22.9","0.429",335,"19.7","44.4"
"6.121","4.49",0,"0.07151","3.7476",3,0,"22.2","0.449",247,"18.5","56.8"
"7.61","2.03",0,"0.02177","6.27",2,"82.5","42.3","0.415",348,"14.7","15.7"
"5.705","9.9",0,"0.25356","3.945",4,0,"16.2","0.544",304,"18.4","77.7"
"7.267","6.41",1,"0.10469","4.7872",4,40,"33.2","0.447",254,"17.6",49
"5.794","9.69",0,"0.26838","2.8927",6,0,"18.3","0.585",391,"19.2","70.6"
"6.012","7.87",0,"0.08829","5.5605",5,"12.5","22.9","0.524",311,"15.2","66.6"
"5.599","8.14",0,"0.84054","4.4546",4,0,"13.9","0.538",307,21,"85.7"
"5.928","10.01",0,"0.17134","2.4631",6,0,"18.3","0.547",432,"17.8","88.2"
"5.56","3.97",0,"0.76162","1.9865",5,20,"22.8","0.647",264,13,"62.8"
"7.203","3.97",0,"0.54011","2.1121",5,20,"33.8","0.647",264,13,"81.8"
"8.069","2.89",0,"0.12083","3.4952",2,0,"38.7","0.445",276,18,76
"5.456","8.14",0,"0.80271","3.7965",4,0,"20.2","0.538",307,21,"36.6"
"5.983","27.74",0,"0.10574","1.8681",4,0,"13.6","0.609",711,"20.1","98.8"
"6.595","2.95",0,"0.02763","5.4011",3,75,"30.8","0.428",252,"18.3","21.8"
"5.39","18.1",0,"8.15174","1.7281",24,0,"11.5","0.7",666,"20.2","98.9"
"6.023","9.9",0,"0.26169","2.834",4,0,"19.4","0.544",304,"18.4","90.4"
"6.556","3.44",0,"0.12579","4.5667",5,45,"29.8","0.437",398,"15.2","29.1"
"6.009","7.87",0,"0.11747","6.2267",5,"12.5","18.9","0.524",311,"15.2","82.9"
"7.148","4.95",0,"0.07886","5.1167",4,80,"37.3","0.411",245,"19.2","27.7"
"5.898","4.39",0,"0.06162","8.0136",3,0,"17.2","0.442",352,"18.8","52.3"
"6.03","11.93",0,"0.04741","2.505",1,0,"11.9","0.573",273,21,"80.8"
"6.416","4.05",0,"0.09178","2.6463",5,0,"23.6","0.51",296,"16.6","84.1"
"6.871","2.24",0,"0.04417","7.8278",5,70,"24.8","0.4",358,"14.8","47.4"
"6.212","18.1",1,"8.98296","2.1222",24,0,"17.8","0.77",666,"20.2","97.4"
"5.604","2.46",0,"0.08308","2.9879",3,0,"26.4","0.488",193,"17.8","89.8"
"6.006","18.1",0,"7.02259","1.8746",24,0,"14.2","0.718",666,"20.2","95.3"
"6.095","4.93",0,"0.10612","6.3361",6,30,"20.1","0.428",300,"16.6","65.1"
"6.375","10.59",0,"0.14052","3.9454",4,0,"28.1","0.489",277,"18.6","32.3"
"5.888",4,0,"0.0136","7.3197",3,75,"18.9","0.41",469,"21.1","47.6"
"5.803","18.1",1,"4.22239","1.9047",24,0,"16.8","0.77",666,"20.2",89
"6.77","6.91",0,"0.12744","5.7209",3,0,"26.6","0.448",233,"17.9","2.9"
"7.147","2.18",0,"0.06905","6.0622",3,0,"36.2","0.458",222,"18.7","54.2"
"5.39","9.69",0,"0.2896","2.7986",6,0,"19.7","0.585",391,"19.2","72.9"
"6.38","18.1",0,"9.33889","1.9682",24,0,"9.5","0.679",666,"20.2","95.6"
"6.072","8.14",0,"1.35472","4.175",4,0,"14.5","0.538",307,21,100
"6.266","9.9",0,"0.26938","3.2628",4,0,"21.6","0.544",304,"18.4","82.8"
"5.949","8.14",0,"0.62976","4.7075",4,0,"20.4","0.538",307,21,"61.8"
"5.683","18.1",0,"67.9208","1.4254",24,0,5,"0.693",666,"20.2",100
"6.861","4.95",0,"0.03502","5.1167",4,80,"28.5","0.411",245,"19.2","27.9"
"5.841","5.96",0,"0.09744","3.3779",5,0,20,"0.499",279,"19.2","61.4"
"7.52","3.97",0,"0.53412","2.1398",5,20,"43.1","0.647",264,13,"89.4"
"6.516","4.15",0,"0.0187","8.5353",4,85,"23.1","0.429",351,"17.9","27.7"
"5.851","8.56",0,"0.13262","2.1069",5,0,"19.5","0.52",384,"20.9","96.7"
"5.924","8.14",0,"0.75026","4.3996",4,0,"15.6","0.538",307,21,"94.1"
"6.115","5.64",0,"0.04337","6.8147",4,21,"20.5","0.439",243,"16.8",63
"6.849","2.18",0,"0.04932","3.1827",7,33,"28.2","0.472",222,"18.4","70.3"
"6.167","8.56",0,"0.1396","2.421",5,0,"20.1","0.52",384,"20.9",90
"6.642","13.89",0,"0.07013","3.4211",5,0,"28.7","0.55",276,"16.4","85.1"
"5.713","18.1",0,"6.96215","1.9265",24,0,"15.1","0.7",666,"20.2",97
"5.878","6.07",0,"0.05789","6.498",4,"12.5",22,"0.409",345,"18.9","21.4"
"5.79","13.92",0,"0.14103","6.32",4,0,"20.3","0.437",289,16,58
"5.888","13.89",1,"0.0456","3.1121",5,0,"23.3","0.55",276,"16.4",56
"6.939","1.25",0,"0.02899","8.7921",1,40,"26.6","0.429",335,"19.7","34.5"
"6.383","0.74",0,"0.02055","9.1876",2,85,"24.7","0.41",313,"17.3","35.7"
"6.151","21.89",0,"0.54452","1.6687",4,0,"17.8","0.624",437,"21.2","97.9"
"6.193","18.1",0,"7.36711","1.9356",24,0,11,"0.679",666,"20.2","78.1"
"5.454","27.74",0,"0.15086","1.8209",4,0,"15.2","0.609",711,"20.1","92.7"
"6.411","18.1",0,"11.0874","1.8589",24,0,"16.7","0.718",666,"20.2",100
"6.066","19.58",0,"1.34284","1.7573",5,0,"24.3","0.605",403,"14.7",100
"6.433","5.86",0,"0.16439","7.8265",7,22,"24.5","0.431",330,"19.1","49.1"
"5.713","18.1",0,"13.0751","2.8237",24,0,"20.1","0.58",666,"20.2","56.7"
"6.552","6.2",0,"0.44178","3.3751",8,0,"31.5","0.504",307,"17.4","21.4"
"6.312","7.38",0,"0.30347","5.4159",5,0,23,"0.493",287,"19.6","28.9"
"6.718","5.86",0,"0.19073","7.8265",7,22,"26.2","0.431",330,"19.1","17.5"
"5.453","18.1",0,"38.3518","1.4896",24,0,5,"0.693",666,"20.2",100
"7.358","6.2",0,"0.51183","4.148",8,0,"31.5","0.507",307,"17.4","71.6"
"5.57","8.14",0,"1.25179","3.7979",4,0,"13.6","0.538",307,21,"98.1"
"5.913","10.01",0,"0.12329","2.3534",6,0,"18.8","0.547",432,"17.8","92.9"
"8.034","2.68",0,"0.02009","5.118",4,95,50,"0.4161",224,"14.7","31.9"
"7.016","18.1",1,"6.53876","1.2024",24,0,50,"0.631",666,"20.2","97.5"
"7.007","3.41",0,"0.0566","3.4217",2,0,"23.6","0.489",270,"17.8","86.3"
"6.081","18.1",0,"6.80117","2.7175",24,0,20,"0.713",666,"20.2","84.4"
"6.833","18.1",0,"10.0623","2.0882",24,0,"14.1","0.584",666,"20.2","94.3"
"6.208","18.1",0,"13.9134","2.2222",24,0,"11.7","0.713",666,"20.2",95
"7.041","2.24",0,"0.05561","7.8278",5,70,29,"0.4",358,"14.8",10
"6.398","18.1",0,"4.54192","2.5182",24,0,25,"0.77",666,"20.2",88
"5.536","18.1",0,"9.18702","1.5804",24,0,"11.3","0.7",666,"20.2",100
"7.686","6.2",0,"0.29819","3.3751",8,0,"46.7","0.504",307,"17.4",17
"5.875","19.58",0,"1.20742","2.4259",5,0,"17.4","0.605",403,"14.7","94.6"
"6.635","9.9",0,"0.49298","3.3175",4,0,"22.8","0.544",304,"18.4","82.5"
"5.012","19.58",1,"1.12658","1.6102",5,0,"15.3","0.871",403,"14.7",88
"6.037","5.19",0,"0.03961","5.9853",5,0,"21.1","0.515",224,"20.2","34.5"
"5.349","18.1",0,"24.8017","1.7028",24,0,"8.3","0.693",666,"20.2",96
"6.083","7.38",0,"0.24103","5.4159",5,0,"22.2","0.493",287,"19.6","43.7"
"5.854","19.58",0,"2.24236","2.422",5,0,"22.7","0.605",403,"14.7","91.8"
"6.98","18.1",0,"4.64689","2.5329",24,0,"29.8","0.614",666,"20.2","67.6"
"6.086","6.2",0,"0.33045","3.6519",8,0,24,"0.507",307,"17.4","61.5"
"6.232","12.83",0,"0.05646","5.0141",5,0,"21.2","0.437",398,"18.7","53.7"
"5.813","8.14",0,"0.98843","4.0952",4,0,"14.5","0.538",307,21,100
"6.421","7.07",0,"0.02731","4.9671",2,0,"21.6","0.469",242,"17.8","78.9"
"4.88","18.1",0,"14.3337","1.5895",24,0,"10.2","0.7",666,"20.2",100
"6.683","18.1",1,"5.66998","1.3567",24,0,50,"0.631",666,"20.2","96.8"
"6.453","2.25",0,"0.01096","7.3073",1,55,22,"0.389",300,"15.3","31.9"
"5.036","18.1",0,"11.5779","1.77",24,0,"9.7","0.7",666,"20.2",97
"5.983","27.74",0,"0.11132","2.1099",4,0,"20.1","0.609",711,"20.1","83.5"
"6.059","5.19",0,"0.03306","4.8122",5,0,"20.6","0.515",224,"20.2","37.3"
"7.249","1.22",0,"0.01311","8.6966",5,90,"35.4","0.403",226,"17.9","21.9"
"8.04","6.2",0,"0.38214","3.2157",8,0,"37.6","0.504",307,"17.4","86.5"
"6.538","6.96",0,"0.1146","3.9175",3,20,"24.4","0.464",223,"18.6","58.7"
"8.725","6.2",0,"0.52693","2.8944",8,0,50,"0.504",307,"17.4",83
"6.129","19.58",1,"1.41385","1.7494",5,0,17,"0.871",403,"14.7",96
"7.416","2.89",0,"0.0686","3.4952",2,0,"33.2","0.445",276,18,"62.5"
"6.51","19.58",0,"1.42502","1.7659",5,0,"23.3","0.871",403,"14.7",100
"6.976","11.93",0,"0.06076","2.1675",1,0,"23.9","0.573",273,21,91
"5.747","18.1",0,"7.67202","1.6334",24,0,"8.5","0.693",666,"20.2","98.9"
"6.606","4.93",0,"0.09252","6.1899",6,30,"23.3","0.428",300,"16.6","42.2"
"5.605","5.86",0,"0.19133","7.9549",7,22,"18.5","0.431",330,"19.1","70.2"
"4.97","18.1",0,"4.89822","1.3325",24,0,50,"0.631",666,"20.2",100
"5.344","10.59",1,"0.43571","3.875",4,0,20,"0.489",277,"18.6",100
"6.943","19.58",0,"1.22358","1.8773",5,0,"41.3","0.605",403,"14.7","97.4"
"6.335","21.89",0,"0.55778","2.1107",4,0,"18.1","0.624",437,"21.2","98.2"
"5.896","18.1",0,"15.8603","1.9096",24,0,"8.3","0.679",666,"20.2","95.4"
"5.869","5.19",0,"0.03427","5.2311",5,0,"19.5","0.515",224,"20.2","46.3"
"8.398","3.97",0,"0.52014","2.2885",5,20,"48.8","0.647",264,13,"91.5"
"6.625","2.89",0,"0.12204","3.4952",2,0,"28.4","0.445",276,18,"57.8"
"6.794","11.93",0,"0.10959","2.3889",1,0,22,"0.573",273,21,"89.3"
"6.223","18.1",0,"17.8667","1.3861",24,0,"10.2","0.671",666,"20.2",100
"6.144","3.24",0,"0.04544","5.8736",4,0,"19.8","0.46",430,"16.9","32.2"
"6.998","2.18",0,"0.03237","6.0622",3,0,"33.4","0.458",222,"18.7","45.8"
"5.88","19.58",0,"2.3139","2.3887",5,0,"19.1","0.605",403,"14.7","97.3"
"5.879","25.65",0,"0.09849","2.0063",2,0,"18.8","0.581",188,"19.1","95.8"
"6.968","3.33",0,"0.03705","5.2447",5,20,"35.4","0.4429",216,"14.9","37.2"
"7.079","3.41",0,"0.05302","3.4145",2,0,"28.7","0.489",270,"17.8","63.1"
"5.884","1.69",0,"0.07244","10.7103",4,60,"18.6","0.411",411,"18.3","18.5"
"7.82","3.33",0,"0.03578","4.6947",5,20,"45.4","0.4429",216,"14.9","64.5"
"6.513","18.1",0,"5.82115","2.8016",24,0,"20.2","0.713",666,"20.2","89.9"
"3.561","18.1",0,"4.55587","1.6132",24,0,"27.5","0.718",666,"20.2","87.9"
"5.741","5.13",0,"0.14932","7.2254",8,25,"18.7","0.453",284,"19.7","66.2"
"6.459","18.1",0,"10.6718","1.9879",24,0,"11.8","0.74",666,"20.2","94.8"
"7.393","18.1",0,"8.24809","2.4527",24,0,"17.8","0.713",666,"20.2","99.3"
"5.427","18.1",0,"8.05579","2.4298",24,0,"13.8","0.584",666,"20.2","95.4"
"6.415","7.38",0,"0.34109","4.7211",5,0,25,"0.493",287,"19.6","40.1"
"6.739","3.44",0,"0.06911","6.4798",5,45,"30.5","0.437",398,"15.2","30.8"
